Дата;Год;Месяц;День недели №;День недели;Номер недели;День тип
16.03.2019;2019;3;6;Суббота;11;Выходной_С
17.03.2019;2019;3;7;Воскресенье;11;Выходной_В
18.03.2019;2019;3;1;Понедельник;12;Рабочий
19.03.2019;2019;3;2;Вторник;12;Рабочий
20.03.2019;2019;3;3;Среда;12;Рабочий
21.03.2019;2019;3;4;Четверг;12;Рабочий
22.03.2019;2019;3;5;Пятница;12;Пятница
23.03.2019;2019;3;6;Суббота;12;Выходной_С
24.03.2019;2019;3;7;Воскресенье;12;Выходной_В
25.03.2019;2019;3;1;Понедельник;13;Рабочий
26.03.2019;2019;3;2;Вторник;13;Рабочий
27.03.2019;2019;3;3;Среда;13;Рабочий
28.03.2019;2019;3;4;Четверг;13;Рабочий
29.03.2019;2019;3;5;Пятница;13;Пятница
30.03.2019;2019;3;6;Суббота;13;Выходной_С
31.03.2019;2019;3;7;Воскресенье;13;Выходной_В
01.04.2019;2019;4;1;Понедельник;14;Рабочий
02.04.2019;2019;4;2;Вторник;14;Рабочий
03.04.2019;2019;4;3;Среда;14;Рабочий
04.04.2019;2019;4;4;Четверг;14;Рабочий
05.04.2019;2019;4;5;Пятница;14;Пятница
06.04.2019;2019;4;6;Суббота;14;Выходной_С
07.04.2019;2019;4;7;Воскресенье;14;Выходной_В
08.04.2019;2019;4;1;Понедельник;15;Рабочий
09.04.2019;2019;4;2;Вторник;15;Рабочий
10.04.2019;2019;4;3;Среда;15;Рабочий
11.04.2019;2019;4;4;Четверг;15;Рабочий
12.04.2019;2019;4;5;Пятница;15;Пятница
13.04.2019;2019;4;6;Суббота;15;Выходной_С
14.04.2019;2019;4;7;Воскресенье;15;Выходной_В
15.04.2019;2019;4;1;Понедельник;16;Рабочий
16.04.2019;2019;4;2;Вторник;16;Рабочий
17.04.2019;2019;4;3;Среда;16;Рабочий
18.04.2019;2019;4;4;Четверг;16;Рабочий
19.04.2019;2019;4;5;Пятница;16;Пятница
20.04.2019;2019;4;6;Суббота;16;Выходной_С
21.04.2019;2019;4;7;Воскресенье;16;Выходной_В
22.04.2019;2019;4;1;Понедельник;17;Рабочий
23.04.2019;2019;4;2;Вторник;17;Рабочий
24.04.2019;2019;4;3;Среда;17;Рабочий
25.04.2019;2019;4;4;Четверг;17;Рабочий
26.04.2019;2019;4;5;Пятница;17;Пятница
27.04.2019;2019;4;6;Суббота;17;Выходной_С
28.04.2019;2019;4;7;Воскресенье;17;Выходной_В
29.04.2019;2019;4;1;Понедельник;18;Рабочий
30.04.2019;2019;4;2;Вторник;18;Пятница
01.05.2019;2019;5;3;Среда;18;Выходной_В
02.05.2019;2019;5;4;Четверг;18;Рабочий
03.05.2019;2019;5;5;Пятница;18;Пятница
04.05.2019;2019;5;6;Суббота;18;Выходной_С
05.05.2019;2019;5;7;Воскресенье;18;Выходной_В
06.05.2019;2019;5;1;Понедельник;19;Рабочий
07.05.2019;2019;5;2;Вторник;19;Рабочий
08.05.2019;2019;5;3;Среда;19;Пятница
09.05.2019;2019;5;4;Четверг;19;Выходной_С
10.05.2019;2019;5;5;Пятница;19;Выходной_С
11.05.2019;2019;5;6;Суббота;19;Выходной_С
12.05.2019;2019;5;7;Воскресенье;19;Выходной_В
13.05.2019;2019;5;1;Понедельник;20;Рабочий
14.05.2019;2019;5;2;Вторник;20;Рабочий
15.05.2019;2019;5;3;Среда;20;Рабочий
16.05.2019;2019;5;4;Четверг;20;Рабочий
17.05.2019;2019;5;5;Пятница;20;Пятница
18.05.2019;2019;5;6;Суббота;20;Выходной_С
